input_name,protein_type,precision,recall,f1,dev_percentage,sMAPE,mae,label_count,pred_count
17784,all,0,0,0,1,1,95,95,0
17784,beta-galactosidase,0,0,0,1,1,1,1,0
17784,ribosome,0,0,0,1,1,47,47,0
17784,virus-like-particle,0,0,0,1,1,18,18,0
17784,apo-ferritin,0,0,0,1,1,23,23,0
17784,thyroglobulin,0,0,0,1,1,5,5,0
17784,beta-amylase,0,0,0,1,1,1,1,0
17753,all,0,0,0,1,1,181,181,0
17753,beta-galactosidase,0,0,0,1,1,8,8,0
17753,ribosome,0,0,0,1,1,120,120,0
17753,virus-like-particle,0,0,0,1,1,5,5,0
17753,apo-ferritin,0,0,0,1,1,15,15,0
17753,thyroglobulin,0,0,0,1,1,23,23,0
17753,beta-amylase,0,0,0,1,1,10,10,0
17726,all,0,0,0,1,1,224,224,0
17726,beta-galactosidase,0,0,0,1,1,1,1,0
17726,ribosome,0,0,0,1,1,20,20,0
17726,virus-like-particle,0,0,0,1,1,2,2,0
17726,apo-ferritin,0,0,0,1,1,191,191,0
17726,thyroglobulin,0,0,0,1,1,5,5,0
17726,beta-amylase,0,0,0,1,1,5,5,0
17758,all,0,0,0,1,1,83,83,0
17758,beta-galactosidase,0,0,0,1,1,5,5,0
17758,ribosome,0,0,0,1,1,64,64,0
17758,virus-like-particle,0,0,0,1,1,2,2,0
17758,apo-ferritin,0,0,0,1,1,5,5,0
17758,thyroglobulin,0,0,0,1,1,3,3,0
17758,beta-amylase,0,0,0,1,1,4,4,0
17779,all,0,0,0,1,1,63,63,0
17779,beta-galactosidase,0,0,0,1,1,1,1,0
17779,ribosome,0,0,0,1,1,28,28,0
17779,virus-like-particle,0,0,0,1,1,16,16,0
17779,apo-ferritin,0,0,0,1,1,10,10,0
17779,thyroglobulin,0,0,0,1,1,6,6,0
17779,beta-amylase,0,0,0,1,1,2,2,0
17684,all,0,0,0,1,1,131,131,0
17684,beta-galactosidase,0,0,0,1,1,5,5,0
17684,ribosome,0,0,0,1,1,77,77,0
17684,virus-like-particle,0,0,0,1,1,3,3,0
17684,apo-ferritin,0,0,0,1,1,36,36,0
17684,thyroglobulin,0,0,0,1,1,8,8,0
17684,beta-amylase,0,0,0,1,1,2,2,0
17694,all,0,0,0,1,1,116,116,0
17694,beta-galactosidase,0,0,0,1,1,5,5,0
17694,ribosome,0,0,0,1,1,62,62,0
17694,virus-like-particle,0,0,0,1,1,2,2,0
17694,apo-ferritin,0,0,0,1,1,27,27,0
17694,thyroglobulin,0,0,0,1,1,17,17,0
17694,beta-amylase,0,0,0,1,1,3,3,0
17756,all,0,0,0,1,1,137,137,0
17756,beta-galactosidase,0,0,0,1,1,7,7,0
17756,ribosome,0,0,0,1,1,76,76,0
17756,virus-like-particle,0,0,0,1,1,4,4,0
17756,apo-ferritin,0,0,0,1,1,27,27,0
17756,thyroglobulin,0,0,0,1,1,17,17,0
17756,beta-amylase,0,0,0,1,1,6,6,0
17702,all,0,0,0,1,1,104,104,0
17702,beta-galactosidase,0,0,0,1,1,3,3,0
17702,ribosome,0,0,0,1,1,87,87,0
17702,virus-like-particle,0,0,0,1,1,3,3,0
17702,apo-ferritin,0,0,0,1,1,9,9,0
17702,beta-amylase,0,0,0,1,1,2,2,0
17754,all,0,0,0,1,1,143,143,0
17754,beta-galactosidase,0,0,0,1,1,9,9,0
17754,ribosome,0,0,0,1,1,98,98,0
17754,apo-ferritin,0,0,0,1,1,20,20,0
17754,thyroglobulin,0,0,0,1,1,6,6,0
17754,beta-amylase,0,0,0,1,1,10,10,0
17778,all,0,0,0,1,1,140,140,0
17778,beta-galactosidase,0,0,0,1,1,8,8,0
17778,ribosome,0,0,0,1,1,39,39,0
17778,virus-like-particle,0,0,0,1,1,28,28,0
17778,apo-ferritin,0,0,0,1,1,37,37,0
17778,thyroglobulin,0,0,0,1,1,20,20,0
17778,beta-amylase,0,0,0,1,1,8,8,0
17742,all,0,0,0,1,1,125,125,0
17742,beta-galactosidase,0,0,0,1,1,12,12,0
17742,ribosome,0,0,0,1,1,30,30,0
17742,virus-like-particle,0,0,0,1,1,7,7,0
17742,apo-ferritin,0,0,0,1,1,36,36,0
17742,thyroglobulin,0,0,0,1,1,24,24,0
17742,beta-amylase,0,0,0,1,1,16,16,0
17791,all,0,0,0,1,1,99,99,0
17791,beta-galactosidase,0,0,0,1,1,3,3,0
17791,ribosome,0,0,0,1,1,75,75,0
17791,virus-like-particle,0,0,0,1,1,3,3,0
17791,apo-ferritin,0,0,0,1,1,7,7,0
17791,thyroglobulin,0,0,0,1,1,9,9,0
17791,beta-amylase,0,0,0,1,1,2,2,0
17693,all,0,0,0,1,1,158,158,0
17693,beta-galactosidase,0,0,0,1,1,7,7,0
17693,ribosome,0,0,0,1,1,62,62,0
17693,virus-like-particle,0,0,0,1,1,1,1,0
17693,apo-ferritin,0,0,0,1,1,74,74,0
17693,thyroglobulin,0,0,0,1,1,10,10,0
17693,beta-amylase,0,0,0,1,1,4,4,0
17739,all,0,0,0,1,1,136,136,0
17739,beta-galactosidase,0,0,0,1,1,17,17,0
17739,ribosome,0,0,0,1,1,31,31,0
17739,virus-like-particle,0,0,0,1,1,9,9,0
17739,apo-ferritin,0,0,0,1,1,22,22,0
17739,thyroglobulin,0,0,0,1,1,30,30,0
17739,beta-amylase,0,0,0,1,1,27,27,0
17700,all,0,0,0,1,1,86,86,0
17700,ribosome,0,0,0,1,1,41,41,0
17700,virus-like-particle,0,0,0,1,1,3,3,0
17700,apo-ferritin,0,0,0,1,1,28,28,0
17700,thyroglobulin,0,0,0,1,1,9,9,0
17700,beta-amylase,0,0,0,1,1,5,5,0
17698,all,0,0,0,1,1,122,122,0
17698,beta-galactosidase,0,0,0,1,1,14,14,0
17698,ribosome,0,0,0,1,1,54,54,0
17698,virus-like-particle,0,0,0,1,1,3,3,0
17698,apo-ferritin,0,0,0,1,1,25,25,0
17698,thyroglobulin,0,0,0,1,1,15,15,0
17698,beta-amylase,0,0,0,1,1,11,11,0
17746,all,0,0,0,1,1,81,81,0
17746,beta-galactosidase,0,0,0,1,1,4,4,0
17746,ribosome,0,0,0,1,1,28,28,0
17746,virus-like-particle,0,0,0,1,1,2,2,0
17746,apo-ferritin,0,0,0,1,1,32,32,0
17746,thyroglobulin,0,0,0,1,1,6,6,0
17746,beta-amylase,0,0,0,1,1,9,9,0
17776,all,0,0,0,1,1,119,119,0
17776,beta-galactosidase,0,0,0,1,1,13,13,0
17776,ribosome,0,0,0,1,1,55,55,0
17776,virus-like-particle,0,0,0,1,1,2,2,0
17776,apo-ferritin,0,0,0,1,1,28,28,0
17776,thyroglobulin,0,0,0,1,1,11,11,0
17776,beta-amylase,0,0,0,1,1,10,10,0
17707,all,0,0,0,1,1,66,66,0
17707,beta-galactosidase,0,0,0,1,1,2,2,0
17707,ribosome,0,0,0,1,1,35,35,0
17707,virus-like-particle,0,0,0,1,1,2,2,0
17707,apo-ferritin,0,0,0,1,1,9,9,0
17707,thyroglobulin,0,0,0,1,1,10,10,0
17707,beta-amylase,0,0,0,1,1,8,8,0
17767,all,0,0,0,1,1,113,113,0
17767,beta-galactosidase,0,0,0,1,1,8,8,0
17767,ribosome,0,0,0,1,1,66,66,0
17767,virus-like-particle,0,0,0,1,1,4,4,0
17767,apo-ferritin,0,0,0,1,1,13,13,0
17767,thyroglobulin,0,0,0,1,1,17,17,0
17767,beta-amylase,0,0,0,1,1,5,5,0
17737,all,0,0,0,1,1,176,176,0
17737,beta-galactosidase,0,0,0,1,1,7,7,0
17737,ribosome,0,0,0,1,1,36,36,0
17737,virus-like-particle,0,0,0,1,1,25,25,0
17737,apo-ferritin,0,0,0,1,1,81,81,0
17737,thyroglobulin,0,0,0,1,1,24,24,0
17737,beta-amylase,0,0,0,1,1,3,3,0
17722,all,0,0,0,1,1,286,286,0
17722,beta-galactosidase,0,0,0,1,1,9,9,0
17722,ribosome,0,0,0,1,1,44,44,0
17722,virus-like-particle,0,0,0,1,1,3,3,0
17722,apo-ferritin,0,0,0,1,1,207,207,0
17722,thyroglobulin,0,0,0,1,1,18,18,0
17722,beta-amylase,0,0,0,1,1,5,5,0
17709,all,0,0,0,1,1,78,78,0
17709,beta-galactosidase,0,0,0,1,1,2,2,0
17709,ribosome,0,0,0,1,1,46,46,0
17709,virus-like-particle,0,0,0,1,1,1,1,0
17709,apo-ferritin,0,0,0,1,1,18,18,0
