input_name,protein_type,precision,recall,f1,dev_percentage,sMAPE,mae,label_count,pred_count
TS_6_6,all,0.6982248520710059,0.8251748251748252,0.7564102564102564,0.18181818181818182,0.08333333333333333,26,143,169
TS_6_6,beta-galactosidase,0.05325443786982249,0.8181818181818182,0.09999999999999999,14.363636363636363,0.8777777777777778,158,11,169
TS_6_6,ribosome,0.13609467455621302,1.0,0.23958333333333334,6.3478260869565215,0.7604166666666666,146,23,169
TS_6_6,no_class,0.011834319526627219,0.08,0.020618556701030927,5.76,0.7422680412371134,144,25,169
TS_6_6,virus-like-particle,0.11242603550295859,1.0,0.2021276595744681,7.894736842105263,0.7978723404255319,150,19,169
TS_6_6,apo-ferritin,0.23668639053254437,0.975609756097561,0.38095238095238093,3.1219512195121952,0.6095238095238096,128,41,169
TS_6_6,thyroglobulin,0.17159763313609466,0.8285714285714286,0.28431372549019607,3.8285714285714287,0.6568627450980392,134,35,169
TS_6_6,beta-amylase,0.05917159763313609,0.7142857142857143,0.1092896174863388,11.071428571428571,0.8469945355191257,155,14,169
TS_69_2,all,0.9097744360902256,0.8461538461538461,0.8768115942028986,0.06993006993006994,0.036231884057971016,10,143,133
TS_69_2,beta-galactosidase,0.10526315789473684,0.875,0.1879194630872483,7.3125,0.785234899328859,117,16,133
TS_69_2,ribosome,0.2706766917293233,0.972972972972973,0.42352941176470593,2.5945945945945947,0.5647058823529412,96,37,133
TS_69_2,no_class,0,0,0,4.32,0.6835443037974683,108,25,133
TS_69_2,virus-like-particle,0.06766917293233082,1.0,0.1267605633802817,13.777777777777779,0.8732394366197183,124,9,133
TS_69_2,apo-ferritin,0.2556390977443609,0.9714285714285714,0.4047619047619047,2.8,0.5833333333333334,98,35,133
TS_69_2,thyroglobulin,0.23308270676691728,0.9117647058823529,0.3712574850299401,2.911764705882353,0.592814371257485,99,34,133
TS_69_2,beta-amylase,0.045112781954887216,0.5,0.08275862068965517,10.083333333333334,0.8344827586206897,121,12,133
TS_99_9,all,0.8530805687203792,0.8653846153846154,0.8591885441527447,0.014423076923076924,0.007159904534606206,3,208,211
TS_99_9,beta-galactosidase,0.10900473933649289,0.9583333333333334,0.19574468085106383,7.791666666666667,0.7957446808510639,187,24,211
TS_99_9,ribosome,0.3080568720379147,1.0,0.4710144927536232,2.246153846153846,0.5289855072463768,146,65,211
TS_99_9,no_class,0.009478672985781991,0.08,0.01694915254237288,7.44,0.788135593220339,186,25,211
TS_99_9,virus-like-particle,0.061611374407582936,1.0,0.11607142857142856,15.23076923076923,0.8839285714285714,198,13,211
TS_99_9,apo-ferritin,0.17061611374407584,1.0,0.29149797570850206,4.861111111111111,0.708502024291498,175,36,211
TS_99_9,thyroglobulin,0.22274881516587677,0.9591836734693877,0.36153846153846153,3.306122448979592,0.6230769230769231,162,49,211
TS_99_9,beta-amylase,0.07109004739336493,0.7142857142857143,0.12931034482758622,9.047619047619047,0.8189655172413793,190,21,211
TS_73_6,all,0.9121951219512195,0.8617511520737328,0.8862559241706162,0.055299539170506916,0.02843601895734597,12,217,205
TS_73_6,beta-galactosidase,0.06829268292682927,1.0,0.1278538812785388,13.642857142857142,0.8721461187214612,191,14,205
TS_73_6,ribosome,0.22439024390243903,1.0,0.3665338645418327,3.4565217391304346,0.6334661354581673,159,46,205
TS_73_6,no_class,0,0,0,7.2,0.782608695652174,180,25,205
TS_73_6,virus-like-particle,0.1024390243902439,0.9545454545454546,0.18502202643171803,8.318181818181818,0.8061674008810573,183,22,205
TS_73_6,apo-ferritin,0.4,0.8631578947368421,0.5466666666666667,1.1578947368421053,0.36666666666666664,110,95,205
TS_73_6,thyroglobulin,0.12195121951219512,0.8928571428571429,0.2145922746781116,6.321428571428571,0.759656652360515,177,28,205
TS_73_6,beta-amylase,0.04390243902439024,0.75,0.08294930875576037,16.083333333333332,0.8894009216589862,193,12,205
TS_6_4,all,0.7309417040358744,0.844559585492228,0.7836538461538461,0.15544041450777202,0.07211538461538461,30,193,223
TS_6_4,beta-galactosidase,0.04484304932735426,0.8333333333333334,0.0851063829787234,17.583333333333332,0.8978723404255319,211,12,223
